#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321A36A5A
#Date Time: 2020-02-18 14:54:03.305
#Start: 50 Hz
#Stop: 200 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.4125 V
#Offset: -0.000188385 V
#Relative: no
#Channel: Channel 2
#Range: 5.49784 V
#Offset: 5.94039e-06 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
50.00000000000001,-27.64995173051231,18.36795934863805,-23.62683937434838
50.46424006059372,-34.78621409790036,22.46660882044246,-46.49793201726858
50.93279049786463,-35.86381501690419,22.8875430845346,-56.37642624694868
51.40569133280334,-38.07273591778119,24.93964905596189,-52.3167023597224
51.88298295798738,-44.70109010647356,30.92211595890831,-88.75602187782778
52.36470614103135,-39.86600873395531,25.49192438074537,-101.4744317450685
52.85090202806904,-41.08233094590464,26.31234848212507,-137.5814013849911
53.3416121472679,-41.38377688270579,26.18653601024994,-150.7493717353705
53.83687841237617,-39.5681681695951,23.84038984370489,-159.9150985261436
54.33674312630292,-38.2332361388756,22.16145721915581,-166.6939564409139
54.84124898473131,-36.14897456958477,19.63821075769554,-169.9434571978321
55.35043907976544,-34.83457984777821,17.84387924118577,-166.2115700601588
55.86435690361101,-34.8228753325355,17.75723647644065,-171.0309254106581
56.38304635229024,-33.24321511616027,15.7295790308131,-169.4411647190943
56.90655172939114,-33.07040596011088,15.57680213325358,-174.5759467305645
57.43491774985176,-32.37170307792893,14.60179156171116,-173.4840357313108
57.96818954377949,-31.76320269535024,13.96050760006267,-173.6786970420552
58.50641266030572,-31.23345061283966,13.255795956795,-175.5824487462817
59.04963307147653,-30.84555701998198,12.82251819618666,-175.6177685768987
59.59789717617932,-30.34150366939188,12.42774569781072,-176.9642616355236
60.15125180410584,-29.90045741855204,12.04032368903958,-177.8916532321113
60.70974421975236,-29.33186746630483,11.6362341212864,-178.2654215976682
61.2734221264565,-29.0913238842959,11.4348731354808,-179.4327530016885
61.84233367047188,-28.41348000150647,11.10901771189464,178.5855962145243
62.41652744508062,-27.90245130970497,10.88968624977835,178.6260236765258
62.99605249474367,-27.32068521100569,10.81171044331952,176.4130838228169
63.58095831929016,-26.73219349433263,10.78970776442988,175.1739643339561
64.17129487814522,-26.05212157425051,10.66323672788438,174.3255340482776
64.76711259459735,-25.47846065723947,10.60072662640974,173.0283613798549
65.36846236010527,-24.77724814324325,10.58420577307262,170.9979451377176
65.97539553864472,-24.14601785295826,10.60505840069492,168.9427681427399
66.5879639710958,-23.50592992814224,10.56544051834943,166.8443266177193
