#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321A36A5A
#Date Time: 2020-02-18 14:19:21.439
#Start: 50 Hz
#Stop: 200 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.4125 V
#Offset: -0.000188385 V
#Relative: no
#Channel: Channel 2
#Range: 5.49784 V
#Offset: 5.94039e-06 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
50.00000000000001,-31.12932196576054,32.02637674978943,-38.45805120709532
50.46424006059372,-34.87725276273039,31.74493870130147,-122.5287756492549
50.93279049786463,-32.06995307789843,26.88118649764943,-152.0024204729464
51.40569133280334,-30.27627891386662,24.12537871175439,-152.6357676067181
51.88298295798738,-29.80164963940532,23.27635307746685,-156.0012125696057
52.36470614103135,-29.14507302016053,21.773675744788,-163.6265290458824
52.85090202806904,-28.24566065306215,20.31505153563735,-162.2305445048033
53.3416121472679,-27.74323523759044,19.36136724769568,-162.1298940304385
53.83687841237617,-27.38014669402561,18.7326831950055,-166.1358224795738
54.33674312630292,-26.85967195499637,17.85535886933176,-169.7134856188212
54.84124898473131,-26.17986860905308,16.36147235190322,-170.0920869258655
55.35043907976544,-25.83337642316582,15.20087892257049,-170.6256462405148
55.86435690361101,-25.36428979227205,14.36066817680631,-167.9960606186697
56.38304635229024,-25.05315561021951,13.65233113562185,-171.59109392431
56.90655172939114,-24.76656146127137,13.09946074997981,-169.7288298967559
57.43491774985176,-24.46904083903643,12.47408534168306,-169.5904030136394
57.96818954377949,-24.73879463171171,11.95499884712958,-169.3149195445462
58.50641266030572,-24.42411214044417,11.62435624275841,-168.4094568201113
59.04963307147653,-24.5467931597437,11.19578745719503,-169.4230769815528
59.59789717617932,-24.68041211377343,10.87849969371229,-169.6836986267684
60.15125180410584,-24.54488032596977,10.47566664679881,-170.2523320839089
60.70974421975236,-24.74244809502818,10.14922943700839,-171.6553942443591
61.2734221264565,-24.54778332072653,9.805974126616567,-171.7997031130018
61.84233367047188,-24.50916300014572,9.463185414339462,-172.8072943019908
62.41652744508062,-24.55506916733656,9.114457717147719,-173.5568346532072
62.99605249474367,-24.77737099202009,8.695064010377841,-174.3435517253733
63.58095831929016,-24.92687015341692,8.392564077943657,-176.2187806825822
64.17129487814522,-24.92126144913455,7.955714556613513,-176.5727728895359
64.76711259459735,-24.84621645083497,7.649873257811171,-176.2598246419626
65.36846236010527,-24.68163211763425,7.290552911025941,-177.3298673668561
65.97539553864472,-24.87294916796457,6.940354917440437,-177.9630449237186
66.5879639710958,-24.73281306918856,6.602667196520969,-178.7638918157223
67.20621997967088,-24.76976177201991,6.246659223184765,-179.1529415233985
67.8302163723836,-24.83223551448295,5.91407598334973,-179.7135888871048
68.46000644755961,-24.82154073243174,5.483126723651811,179.803637967813
69.09564399838882,-24.92759972120574,5.129793473828757,178.9603385269187
69.73718331752028,-25.03320056311777,4.777321798570011,179.0810651209479
70.3846792016995,-24.79787633835173,4.335587167578378,178.8504838096385
71.0381869564488,-24.74835122496511,4.031631651742373,179.3156464692683
71.69776240079139,-24.54229909771524,3.609897967118385,178.8457057986781
72.3634618720189,-24.26443627252937,3.254055174577235,179.508652942931
