#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321A36A5A
#Date Time: 2020-02-18 14:23:09.249
#Start: 50 Hz
#Stop: 200 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.4125 V
#Offset: -0.000188385 V
#Relative: no
#Channel: Channel 2
#Range: 5.49784 V
#Offset: 5.94039e-06 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
50.00000000000001,-30.67612419049928,31.63001517162184,-39.15450675510248
50.46424006059372,-34.25299698625413,31.04112795857993,-119.4717659264723
50.93279049786463,-32.01647818401528,26.89902944500581,-150.6437584439852
51.40569133280334,-30.2603648134602,24.10021643561165,-152.2817157366838
51.88298295798738,-29.899636589239,23.39978916681564,-154.1307963266887
52.36470614103135,-29.13221785066508,21.80850245904363,-162.7917681552713
52.85090202806904,-28.47419646112579,20.60837843071378,-163.2797686971435
53.3416121472679,-27.43849099460672,18.91811843350767,-160.8208251416601
53.83687841237617,-27.04661625833972,18.16869220796725,-160.7971977219562
54.33674312630292,-26.65621918337375,17.53966214972871,-163.6029969216583
54.84124898473131,-26.33772821669392,16.31902150487419,-169.9609121169559
55.35043907976544,-25.56878331094806,15.07268575872954,-171.3746372010076
55.86435690361101,-25.46180927233459,14.43855329487378,-170.6365656235645
56.38304635229024,-25.07083610607819,13.78336404141337,-167.9434571593851
56.90655172939114,-24.7081266616533,13.08733151337156,-168.3802478874616
57.43491774985176,-24.75068125370846,12.31595389014684,-169.320643524654
57.96818954377949,-24.30012752284891,11.87190300682283,-168.9599707562878
58.50641266030572,-24.23717628320123,11.52515671499405,-168.8284497460432
59.04963307147653,-24.36940602843428,11.11411519320647,-169.0240472884155
59.59789717617932,-24.29478399783846,10.75660746013163,-169.3509368727334
60.15125180410584,-24.37812412180717,10.41423465576923,-170.1042205890883
60.70974421975236,-24.52260844940447,10.1049200270015,-170.6010620327283
61.2734221264565,-24.63668318826977,9.726814831092049,-171.1423860159229
61.84233367047188,-24.98641121796469,9.370865788323574,-172.0500876261763
62.41652744508062,-24.70657867935704,9.07106633371942,-173.2930058829556
62.99605249474367,-24.70547091302612,8.714538722189053,-174.3640767290602
63.58095831929016,-24.73146145593146,8.35712444947988,-175.2247827170671
64.17129487814522,-24.813771085821,7.990295666054688,-175.8462566641754
64.76711259459735,-25.0024120025787,7.587220000257004,-176.1752379514632
65.36846236010527,-25.13552598164803,7.242902686353256,-177.1534429580939
65.97539553864472,-24.95125578043042,6.885352329165255,-177.0761484292564
66.5879639710958,-25.06806216690294,6.560981770935962,-177.4979821860252
67.20621997967088,-24.81647356475565,6.245864370694792,-178.2600882400423
67.8302163723836,-24.5551112839102,5.932916916348088,-178.772175687526
68.46000644755961,-24.55389136404502,5.639346266930905,-179.2760512353952
69.09564399838882,-24.41782875582813,5.288710989451197,-179.8132832814139
69.73718331752028,-24.30620509932486,4.915672680877739,179.6281666595075
70.3846792016995,-24.48445900467639,4.548750808744011,179.1882061837215
71.0381869564488,-24.29333862409203,4.168994049780286,178.3522711003206
71.69776240079139,-24.14756132508489,3.756828072937857,178.84663004737
72.3634618720189,-23.93657841037677,3.36181061414359,178.8458706923805
73.03534223050364,-23.72118047214854,3.046574763090191,179.7002224567063
73.71346086455507,-23.32126643093254,2.688561607535039,179.5174379476875
74.39787569532173,-22.98444258744951,2.335331169005727,179.9435861363787
75.08864518173853,-22.57928575252331,2.063258502643992,-179.7561901062254
75.78582832551992,-22.12798489813743,1.745332067121422,-179.6032334205314
76.4894846761996,-21.66524117745503,1.458925406975326,-179.0114109775456
77.1996743362168,-21.06708724550127,1.220545126917804,-178.5040989294412
77.91645796605,-20.47456210440114,0.880904814660036,-177.9240221475247
78.63989678939812,-19.64079404059567,0.5219751405744349,-177.4141585264024
79.37005259840998,-18.66895588523794,0.2457155159577983,-177.2629222472461
80.10698775896223,-17.62934367349765,-0.06911064941600788,-176.7240405699977
80.85076521598623,-16.58092702336179,-0.3902545412338201,-176.4367626649537
81.60144849884456,-15.61524516559427,-0.6915676813357035,-176.1237572100725
82.35910172675733,-14.65470933381843,-1.016092360042666,-175.7893271737568
83.12378961427879,-13.80903496230233,-1.321484759589381,-175.8683238517114
83.89557747682503,-13.36069063663489,-1.639924498618535,-176.1041344237601
84.67453123625273,-13.69316048090042,-2.005987867042415,-176.3380998666211
85.46071742648998,-14.85526847162542,-2.437978002795621,-176.422090282166
86.25420319921908,-15.93816285137713,-2.828988350427619,-175.6017314399441
87.05505632961243,-16.68501234813308,-3.083267841910142,-173.5381377008173
87.8633452221214,-17.97248085045079,-3.330465384335188,-174.0911824012086
88.67913891631906,-18.9667472258819,-3.653997325835088,-174.2850257140314
89.50250709279725,-19.78785333297414,-3.994984507631004,-174.4039550027544
90.33352007911824,-20.52871434407786,-4.431570257089716,-173.5450593114273
91.17224885582169,-21.31895274358459,-4.836543811817606,-173.0421941585751
92.01876506248752,-22.00951577003413,-5.396200296778452,-172.1075247129758
92.87314100385487,-22.70978530801372,-5.962605824083918,-171.5520591264143
93.73544965599802,-23.55010329633154,-6.521943172259208,-169.6844502828345
94.60576467255959,-24.22499088417489,-6.921718524088329,-167.2754325585675
95.48416039104167,-25.10932157914871,-7.709339156799691,-165.9197961899355
96.37071183915521,-25.83512345169336,-8.521837675843535,-163.1290432942399
97.26549474122857,-26.6502896276041,-9.57867255287651,-162.9149234291729
