#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321A36A5A
#Date Time: 2020-02-18 14:24:13.471
#Start: 50 Hz
#Stop: 200 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.4125 V
#Offset: -0.000188385 V
#Relative: no
#Channel: Channel 2
#Range: 5.49784 V
#Offset: 5.94039e-06 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
50.00000000000001,-30.10901260434032,31.11571787266728,-41.07696772974575
50.46424006059372,-33.54432586838206,30.18748482065214,-118.6861634601738
50.93279049786463,-31.47888832073657,26.22205901912699,-145.8566229624494
51.40569133280334,-30.66234281481275,24.69390023943947,-148.7546578143288
51.88298295798738,-30.2879413411069,23.86451804382803,-157.3368823082243
52.36470614103135,-28.71320081772084,21.20567006199021,-160.173113022017
52.85090202806904,-28.57369712983051,20.65153828950298,-164.5263377712492
53.3416121472679,-28.00686312392358,19.52515599406771,-166.9868973808031
53.83687841237617,-27.22435065506268,18.01796890276387,-167.2872183782291
54.33674312630292,-26.74828242007747,16.97150345196712,-170.1009656897612
54.84124898473131,-26.15650809254205,16.02867741001389,-171.6071534500537
55.35043907976544,-25.67047028253107,15.05413922816075,-167.9004794496941
55.86435690361101,-25.26187370939841,14.34284199684188,-170.3616614672164
56.38304635229024,-25.02171779607092,13.907523048817,-170.6807629564865
56.90655172939114,-24.76547202744932,13.07726403152467,-169.7097785480128
57.43491774985176,-24.46677178945142,12.4252967266124,-168.8618415437826
57.96818954377949,-24.333317378417,11.91640132820922,-168.7319975282642
58.50641266030572,-24.43825863027623,11.48312350882376,-168.9134891623144
59.04963307147653,-24.3374154519814,11.16935885140299,-168.3059454930138
59.59789717617932,-24.45834652773362,10.77430987614164,-168.8021424754462
60.15125180410584,-24.509212247083,10.44519763342781,-169.5743761176687
60.70974421975236,-24.55951610741492,10.0954405958623,-169.9278844055606
61.2734221264565,-24.94419846440453,9.685952397425492,-171.1454255904544
61.84233367047188,-24.77310353163114,9.459560040427094,-172.131945273986
62.41652744508062,-25.06728041242167,9.020159471513296,-173.2045540973372
62.99605249474367,-24.77390484438397,8.710450158386399,-173.6664600822888
63.58095831929016,-24.81930432980215,8.347400281879844,-174.5865702036373
64.17129487814522,-24.95826681088781,7.979131093772774,-175.1000252634875
64.76711259459735,-25.13886088259351,7.671170277162,-176.2429361223073
65.36846236010527,-24.95890702171082,7.309597840835135,-176.2132953839715
65.97539553864472,-25.02651523604955,6.99519859983151,-177.2577857357511
66.5879639710958,-24.90354837050018,6.625539457577748,-177.5453485163569
67.20621997967088,-25.09052645740864,6.227420608319826,-177.7445342401329
67.8302163723836,-25.30739183431606,5.838865688160472,-178.1467823296441
