#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321A36A5A
#Date Time: 2020-02-11 15:31:56.838
#Start: 5 Hz
#Stop: 50 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.4125 V
#Offset: -0.000188385 V
#Relative: no
#Channel: Channel 2
#Range: 5.49784 V
#Offset: 5.94039e-06 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
5,-22.62028681938223,3.380352469029826,1.220503008719731
5.077344962165402,-22.21159016832016,3.507632217029494,0.950964494321255
5.155886372965276,-20.89979267914042,3.677592603651522,0.921502190569413
5.235642740254498,-20.26816541684385,3.838247384510616,0.7419015891806993
5.316632858185805,-19.67661818108088,3.99423274405568,0.6996478887544839
5.398875811638549,-19.13314120370555,4.179987361145004,0.6838082733066528
5.482390980715925,-18.67873575455728,4.384568376532529,0.5621021473286021
5.567198045311807,-18.24215375568144,4.581350967878321,0.4492549852118231
5.653316989748195,-17.78080838716897,4.773947122295803,0.3832742504466324
5.740768107484414,-17.21654954332882,5.031514073141937,0.4519077671037905
5.829572005899158,-16.43946975919352,5.260957320643838,0.2881261014140364
5.91974961114651,-15.69292343934075,5.539227131998411,0.1884553441993262
6.011322173087064,-14.89008812982797,5.841643602028413,0.1458448499378733
6.104311270295356,-14.31094416435859,6.146736164730085,0.05238783164730876
6.198738815144722,-13.70464240095391,6.491437774847439,-0.1258299739976572
6.294627058970836,-13.15275625048859,6.90594175398969,-0.2171425986258768
6.391998597315118,-12.72683861647072,7.354730201111959,-0.5666333575152152
6.490876375249245,-12.53978212239517,7.832475920931801,-0.9921685097049533
6.591283692782035,-12.73409406055601,8.349180211885288,-1.62048853821392
6.693244210349966,-12.80796732001269,8.923166235980471,-1.234801642793684
6.796781954392628,-13.37006362749012,9.541211244275718,-1.460635487687099
6.901921323014425,-14.36137862889324,10.24277749348352,-1.901134399031875
7.008687091733851,-15.45327516562174,11.02470301795912,-2.61914255822165
7.117104419321708,-16.62039779621604,11.8977653964308,-3.072697521835224
7.227198853729639,-18.18625894377801,12.89884834627076,-3.940508409688178
7.338996338110347,-19.77266404220994,14.05678309717231,-5.414337245168468
7.45252321693098,-21.83366749814705,15.42879362380944,-6.941655198821763
7.56780624218104,-24.36804015038004,17.13376761557917,-9.56460758704111
7.684872579676356,-27.14371862855285,19.36365190745157,-13.31666491528441
7.803749815460558,-30.62517687738678,22.66347670100883,-20.22707469617014
7.924465962305567,-35.74704590601601,27.53137148763739,-41.18052586272896
8.047049466312673,-38.3066980446599,29.6198634720628,-105.3150056574196
8.171529213615688,-32.89933271272508,24.00668827900777,-145.5344822295768
8.297934537187803,-28.75613567466328,19.68935636941809,-159.580514490073
8.426295223753758,-25.86060416059456,16.62294658629052,-165.0128305004527
8.556641520808906,-23.58611891614714,14.05114450454296,-168.0791677155578
8.689004143746876,-21.80676171380771,11.95639504654294,-169.8314792668273
8.823414283097501,-20.38893918934065,10.21176106300003,-171.2510531515733
8.959903611876669,-19.10944754473442,8.622833946930911,-171.9756188418988
9.098504293049919,-17.90033162161345,7.173987912969332,-172.6657803506592
9.239248987111454,-16.87587370815676,5.807403712749275,-173.0470474996132
9.382170859780425,-15.82132684136063,4.549635593195915,-173.4839908581848
9.527303589816237,-14.90849160709165,3.367116731302595,-173.8589619169765
9.67468137695476,-14.03651786757715,2.261193933434677,-174.0087595020095
9.824338949967338,-13.08614683631382,1.19072218801822,-174.2845160862553
9.976311574844399,-12.12071625831078,0.1064725401954144,-174.5039099765999
10.13063506310572,-11.19818379932103,-0.9706666563684451,-174.590788855816
10.2873457802392,-10.18914443644531,-2.056417333528815,-174.600653184451
10.4464806542702,-9.168767512571689,-3.162343895661792,-174.7285355948436
10.60807718446342,-8.439705262996227,-4.252230377459408,-174.627342687868
10.77217345015942,-7.748856799043814,-5.334581124079754,-174.5727943617582
10.93880811974776,-7.182129203651223,-6.449190972732773,-174.5413655475338
11.10802045977906,-6.730859864671944,-7.63291703199243,-174.1780099453039
11.27985034421788,-6.289881760822666,-8.860727342123766,-173.5255215514181
11.45433826383887,-5.939665040591011,-10.206940510629,-172.6960457790306
11.63152533576813,-5.670985037858699,-11.26913628129428,-171.6031936370541
11.81145331317231,-5.432135587397557,-12.97977454998491,-171.9905745447
11.99416459509745,-5.381201577965396,-14.67701729603496,-170.303853923387
12.17970223646014,-5.367554687872385,-16.62987846326351,-168.3499998451047
12.36810995819311,-5.437762879111258,-18.88098149108293,-165.0463705232344
12.5594321575479,-5.567353039460031,-21.82261158928551,-160.0041457616249
12.7537139185568,-5.723916246223869,-25.60127198423834,-149.3005436633202
12.95100102265662,-5.96065482598667,-30.33775524021173,-121.4990990644174
13.15133995947691,-6.253992326319311,-31.85060066172401,-62.39957888069509
13.35477793779493,-6.481840495305349,-27.31305665037345,-24.23798107149203
13.56136289666014,-6.711899387081839,-22.6847243088046,-18.71333250308031
13.77114351669083,-6.993492039744384,-20.59746460026876,-11.63785353556658
13.98416923154539,-7.445086411757132,-18.62323477350702,-8.968524893042456
14.20049023957108,-7.77585042417762,-17.01156063371055,-6.712054065289099
14.42015751563303,-7.823865431362207,-15.69807468172811,-5.182763105126668
14.64322282312618,-7.992496857582618,-14.45636796024667,-3.915620280282099
