#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321A36A5A
#Date Time: 2020-02-11 15:36:46.104
#Start: 5 Hz
#Stop: 50 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.4125 V
#Offset: -0.000188385 V
#Relative: no
#Channel: Channel 2
#Range: 5.49784 V
#Offset: 5.94039e-06 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
5,-22.36946035719972,4.957236107810838,1.260440762832424
5.077344962165402,-21.66659266787768,5.046538825990863,0.9496394236887227
5.155886372965276,-21.39206273956663,5.255933782743548,0.4198489222118269
5.235642740254498,-20.89658039822556,5.46949619458873,0.549451345616518
5.316632858185805,-20.29039655444285,5.728225970073034,0.3893182282966734
5.398875811638549,-19.76557251248621,5.9969687200416,0.3489914055986105
5.482390980715925,-19.18710661442265,6.255022779002396,0.1832595792255844
5.567198045311807,-18.56648291871997,6.533871002489219,0.06294205428473276
5.653316989748195,-18.02890303933901,6.827986557963987,-0.04156200409586575
5.740768107484414,-17.23635316207164,7.152618731013672,-0.2757960431802076
5.829572005899158,-16.40505585323669,7.510158316375475,-0.5076626076120192
5.91974961114651,-15.77678803602428,7.896437592515189,-0.6903674797449781
6.011322173087064,-15.1522670895195,8.274098446567283,-0.7975483893915083
6.104311270295356,-14.43305062889925,8.681374939654058,-0.8754496142042427
6.198738815144722,-13.76096726149055,9.139305257832255,-0.9070673623150913
6.294627058970836,-13.19615981464341,9.683148358167792,-1.083057239581198
6.391998597315118,-12.74033023955772,10.24767657703608,-1.603731947160846
6.490876375249245,-12.57091745237529,10.82533396998976,-2.31880629231037
6.591283692782035,-12.74492380592961,11.43809585824512,-2.951003508945348
6.693244210349966,-12.93854336324923,12.19415268773572,-2.571761571372036
6.796781954392628,-13.60127587551821,12.87363697612482,-2.868638468449632
6.901921323014425,-14.50557195993686,13.71891472940975,-3.468284539402475
7.008687091733851,-15.75243784275822,14.56624078155865,-3.964987091023589
7.117104419321708,-17.19151002825125,15.57733108339757,-4.89028555136891
7.227198853729639,-18.62349290139451,16.75556123112347,-6.057734057814415
7.338996338110347,-20.41288716157109,18.00490910025247,-7.551842702970674
7.45252321693098,-22.36507903919473,19.58415220177254,-9.292067433599584
7.56780624218104,-24.83438958749492,21.53754215269886,-11.76515504751266
7.684872579676356,-27.71374658526648,24.0767546235125,-16.60577445236031
7.803749815460558,-31.45240396408867,27.73320393437633,-25.90547536798034
7.924465962305567,-36.77406552199502,32.76984962300028,-53.35036668101569
8.047049466312673,-37.12451393006332,32.89256299154465,-117.2956774410299
8.171529213615688,-31.91109594930883,27.73217954246304,-148.8173721843165
8.297934537187803,-28.05524424172033,23.87988340123645,-161.7676903321495
8.426295223753758,-25.38628378844271,21.16719678603543,-166.9780577369864
8.556641520808906,-23.17779494001126,18.92607964230971,-169.3537956384392
8.689004143746876,-21.31873052904357,17.09569065960845,-171.2749259502216
8.823414283097501,-19.77178935326248,15.56911260870101,-172.4642003844131
8.959903611876669,-18.44905596296521,14.29813344686457,-173.7885904991955
9.098504293049919,-17.33437825530441,13.14586379448994,-174.4718817398728
9.239248987111454,-16.49384975100671,12.0924251140578,-174.9773498095344
9.382170859780425,-15.59169243550328,11.12632595860546,-175.2978265541104
9.527303589816237,-14.65782288202102,10.25867955512772,-175.5516631436055
9.67468137695476,-13.6643841765947,9.455097851890516,-175.9893224172663
9.824338949967338,-12.7488770060256,8.694462845643043,-176.2654337143165
9.976311574844399,-11.85101813407149,8.020161656009407,-176.5073034225
10.13063506310572,-10.94706805901406,7.375667119668709,-176.7784619688969
10.2873457802392,-10.11293626279182,6.781983808180664,-177.0022115550524
10.4464806542702,-9.30381626482383,6.222731310327708,-177.2289986248965
10.60807718446342,-8.646433546301335,5.68457753882497,-177.2777944908195
10.77217345015942,-7.947275889010683,5.164203422960171,-177.3726239798922
10.93880811974776,-7.288606368055318,4.676930076308636,-177.4989264018745
11.10802045977906,-6.72943748930919,4.203596847592179,-177.6046232426374
11.27985034421788,-6.329048637202053,3.767392800926979,-177.6060943591427
11.45433826383887,-5.998809800258438,3.359820523772663,-177.6485260810875
11.63152533576813,-5.64488015591226,3.016391138303671,-177.6668915716043
11.81145331317231,-5.425873117063496,2.64431676592444,-177.9267322307237
11.99416459509745,-5.331259721504823,2.281709570248644,-177.9559782184174
12.17970223646014,-5.305770131495083,1.941652546075693,-177.9945649307683
12.36810995819311,-5.382485750040336,1.603592595545612,-178.0761039241651
12.5594321575479,-5.443705961298461,1.301588201241868,-178.0835000177724
12.7537139185568,-5.661792220707355,1.005182466374666,-178.0936849232825
12.95100102265662,-5.914106465362892,0.743630893288843,-178.0471623157247
13.15133995947691,-6.165175593824681,0.5189356017756288,-177.9187466390855
13.35477793779493,-6.474013898063355,0.3856952808039078,-178.3601564673162
13.56136289666014,-6.825052740795035,0.135211420540611,-179.1607582019249
13.77114351669083,-7.212325821216182,-0.1327216581337942,-178.870013353455
13.98416923154539,-7.601983182083185,-0.3200544288608798,-179.0765175811326
14.20049023957108,-7.899661611234348,-0.4804015984303956,-179.1296701359652
14.42015751563303,-8.070762024792225,-0.6448453220158036,-179.3135514524315
14.64322282312618,-8.419806147614583,-0.7905599241113158,-179.5900181594592
14.86973872617303,-8.410028231106221,-0.9667464802941619,-179.7080415236193
15.09975860201008,-8.281471217211664,-1.104047573929888,-179.7002355755918
15.33333665356592,-8.251775975502596,-1.225305260857106,-179.6985573281929
15.5705279222338,-8.25568505284728,-1.322539921692713,-179.6640402459436
15.8113883008419,-8.359281962008072,-1.393114338148984,-179.6297817273771
16.05597454682411,-8.59243036845298,-1.434401873717272,-179.6168878013092
16.30434429559466,-8.912376029541804,-1.455198202530208,-179.6516630191707
16.55655607412956,-9.256046149445577,-1.458659714117187,-179.6947642793802
